name,mp_sb,q1,q5,lo,diff_sr,diff_corr,diff_t,n,score,aligned_months
Spliced copper (COMEX+FRED),0.2738382430648722,1.0216123327157012,0.18005656146187174,0.9632701009675784,0.6183551495984191,0.0018938446859795787,3.910821351250314,480,4,675
H6: Inverted sign SB,-0.27410973692876117,0.9566945627665706,0.20920480038012446,0.9632701009675784,0.5816199281637251,0.04242692351309867,3.6784874110817705,480,5,676
Baseline: FRED avg + bond-TR SB,0.27410973692876117,0.9566945627665706,0.20920480038012446,0.9632701009675784,0.5816199281637251,0.04242692351309867,3.6784874110817705,480,4,676
H1: AGG splice SB,0.06115280612846861,0.8829950477623402,0.17041525586872389,0.9632701009675784,0.5481809458762229,0.05127236326476682,3.467000717748702,480,4,676
H2: Yield-change SB,-0.270495497698827,0.9110504093314281,0.22975258712053892,0.9632701009675784,0.5330499453240993,0.09844137391741063,3.3713038677047504,480,5,676
21d realized vol,0.27410973692876117,0.8578371902488461,0.20054393643186066,0.9632701009675784,0.5309921758621331,0.08477986701121823,3.3582893909060454,480,4,676
SP500TR + yld-chg SB,-0.270495497698827,0.8839457287676395,0.18114350520938666,0.9632701009675784,0.5214162226613178,0.10941539292566815,3.2977257451425332,480,5,676
SP500TR + 63d vol + yld-chg SB,-0.270495497698827,0.8839457287676395,0.18114350520938666,0.9632701009675784,0.5214162226613178,0.10941539292566815,3.2977257451425332,480,5,676
SP500TR Market,0.27410973692876117,0.9459798182517756,0.25418083410323045,0.9632701009675784,0.5110120913998181,0.05907812425246102,3.231924241419133,480,4,676
H5: 5Y Treasury SB,0.34820866745352175,0.8585018125695856,0.25298716840234264,0.9632701009675784,0.4824714712263945,0.058403331441536595,3.0514175102555967,480,4,676
EoM yields + yld-chg SB,-0.2686418791360583,0.8056349646368514,0.21252807637445884,0.9632701009675784,0.4670154696159203,0.171565633635711,2.9536651730389383,480,4,676
All-daily EoM consistent,0.2723850926691911,0.798777669581445,0.2482718024480548,0.9632701009675784,0.44084711078944694,0.10371228780244655,2.7881619399984854,480,3,676
Oil splice (FRED+EIA),0.27410973692876117,0.7690260247200359,0.19096050100921527,0.9632701009675784,0.4301545090307985,0.06743036596016498,2.720535988657583,480,3,676
EoM yields + bond-TR SB,0.2723850926691911,0.7398577394378973,0.21884381975661416,0.9632701009675784,0.4224966651436394,0.09074535527692576,2.6721035313587427,480,3,676
H3: 5yr rolling window SB,0.19153658203862003,0.7376598436051879,0.27517749418496906,0.9632701009675784,0.34215712201646437,0.14450493402847667,2.163991646440343,480,2,662
FRED copper only,0.5936703084778938,0.16263497665738794,0.06436192689147265,0.5452834463508787,0.08370929639009024,-0.2068470638251505,0.37279626025322754,238,0,339
EIA daily oil EoM,0.582049000659994,0.3530665596965603,0.3819447635634483,0.7738128808187955,-0.016281057398532237,-0.1303750445967366,-0.08275092008775159,310,0,412
